turma,sexo,idade ,est_civil,meio_transp,altura,raca,temp_banho,n_p_resid,mora_c_pais,n_med_lixo,sep_lixo,gosta_ler,n_livros_ano,trabalha,faz_esta,ini_cientifica,n_rd_sociais,instagram,temp_insta
EDFIS,feminino,20,solteiro,ônibus,"1,62",parda,10,3,sim,4,não,não,3,sim,não,não,2,sim,72
EDFIS,masculino,20,solteiro,andando,"1,73",branca,10,4,sim,8,sim,às_vezes,0,não,sim,não,4,sim,59
EDFIS,masculino,33,união_est,carro,"1,7",parda,10,2,não,8,não,sim,0,sim,não,sim,3,sim,30
EDFIS,feminino,20,solteiro,ônibus,"1,54",parda,15,3,sim,20,não,às_vezes,2,não,não,sim,3,sim,126
EDFIS,masculino,20,solteiro,ônibus,"1,85",negra,NA,4,sim,NA,sim,às_vezes,10,não,não,não,3,sim,240
EDFIS,feminino,21,solteiro,ônibus,"1,56",parda,10,4,sim,3,sim,sim,7,não,não,sim,5,sim,25
EDFIS,masculino,20,solteiro,andando,"1,8",parda,10,4,sim,15,não,sim,25,não,sim,não,4,sim,152
EDFIS,masculino,26,solteiro,andando,"1,7",parda,10,4,sim,4,não,não,0,não,sim,não,8,sim,47
EDFIS,masculino,20,solteiro,moto,"1,82",parda,10,4,sim,10,não,às_vezes,7,não,sim,não,3,sim,67
EDFIS,feminino,19,solteiro,bicicleta,"1,63",parda,20,5,sim,3,sim,às_vezes,2,sim,sim,não,2,sim,90
EDFIS,masculino,20,solteiro,ônibus,"1,72",negra,10,5,sim,2,não,às_vezes,2,sim,não,não,3,sim,60
EDFIS,masculino,25,solteiro,andando,"1,75",parda,10,3,sim,3,não,às_vezes,2,não,não,não,2,sim,118
EDFIS,feminino,20,solteiro,andando,"1,65",branca,10,4,sim,1,não,às_vezes,1,não,não,não,2,sim,109
EDFIS,feminino,23,solteiro,andando,"1,63",branca,7,4,não,12,sim,sim,2,não,sim,sim,4,sim,150
EDFIS,feminino,22,casado,ônibus,"1,62",negra,5,3,não,5,não,sim,6,sim,não,não,4,sim,28
MAT,masculino,21,solteiro,bicicleta,"1,59",parda,40,3,sim,4,não,não,0,não,sim,não,5,sim,134
MAT,feminino,25,solteiro,andando,"1,59",parda,7,1,não,6,não,sim,3,não,sim,sim,3,sim,120
MAT,masculino,20,solteiro,bicicleta,"1,78",negra,5,3,sim,6,sim,às_vezes,5,não,não,não,4,sim,120
MAT,feminino,22,solteiro,ônibus,"1,58",parda,12,5,sim,10,não,sim,30,sim,não,não,6,sim,59
MAT,masculino,20,solteiro,moto,"1,87",parda,7,4,sim,12,não,sim,10,sim,sim,sim,15,sim,190
MAT,masculino,23,solteiro,moto,"1,75",parda,9,4,sim,6,não,às_vezes,3,sim,sim,sim,4,sim,120
MAT,feminino,45,casado,ônibus,"1,57",parda,20,7,não,8,não,sim,8,não,sim,não,2,sim,NA
MAT,feminino,24,solteiro,andando,"1,63",parda,7,3,não,1,não,às_vezes,0,não,não,não,3,sim,60
MAT,masculino,21,solteiro,carro,"1,68",branca,15,3,sim,8,não,sim,2,não,não,sim,3,sim,51
MAT,feminino,22,solteiro,andando,"1,61",parda,10,2,não,2,sim,às_vezes,10,sim,não,sim,3,sim,45
MAT,masculino,20,solteiro,bicicleta,"1,76",parda,20,3,sim,10,não,sim,16,não,não,não,4,sim,36
MAT,feminino,46,solteiro,carro,"1,54",parda,15,6,sim,5,sim,às_vezes,1,não,não,não,3,não,NA
MAT,masculino,31,solteiro,moto,"1,84",parda,15,2,sim,5,sim,sim,3,sim,não,sim,3,sim,102
MAT,masculino,20,solteiro,moto,"1,65",parda,5,4,sim,5,não,não,0,não,não,não,6,sim,62